"ulb","applicationno","businessservice","createdtime","applicationdate","status","approvalno","approvaldate"
"Cuttack","OD-BP-2021-02-12-000003","BPA1","2021-02-12",NULL,"PENDING_APPL_FEE",NULL,NULL
"Sambalpur","BP-SMB-2022-02-10-000794","BPA1","2022-02-10",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2021-10-01-000080","BPA1","2021-10-01",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Sambalpur","BP-SMB-2021-12-09-000187","BPA1","2021-12-09",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2022-01-07-000271","BPA1","2022-01-07",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-31-000603","BPA2","2022-01-31","2022-02-01","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Cuttack","OD-BP-2021-02-12-000004","BPA1","2021-02-12","2021-02-12","APPROVED","OD-BP-2021-02-12-000003","2021-02-12"
"Rourkela","BP-RRK-2021-11-16-000155","BPA1","2021-11-16","2021-12-02","APPROVED","BP/RRK/000015","2021-12-10"
"Bhubaneswar","BP-BMC-2022-01-28-000573","BPA2","2022-01-28","2022-01-29","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Sambalpur","BP-SMB-2021-12-08-000183","BPA1","2021-12-08","2021-12-11","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Rourkela","BP-RRK-2021-11-16-000154","BPA1","2021-11-16","2021-12-03","APPROVED","BP/RRK/000027","2022-01-11"
"Cuttack","OD-BP-2021-02-12-000001","BPA1","2021-02-12","2021-02-12","APPROVED","OD-BP-2021-02-12-000001","2021-02-12"
"Sambalpur","BP-SMB-2021-12-12-000194","BPA1","2021-12-12","2021-12-14","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Sambalpur","OD-BP-2021-07-14-000073","BPA1","2021-07-14","2021-07-16","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-02-000649","BPA1","2022-02-02",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2021-09-21-000079","BPA1","2021-09-21",NULL,"APPROVED","BP/RRK/000009","2021-11-24"
"Sambalpur","BP-SMB-2021-09-03-000075","BPA1","2021-09-03","2021-09-03","APPROVED","BP-SMB-2021-09-07-000004","2021-09-07"
"Berhampur","BP-BAM-2021-11-16-000157","BPA1","2021-11-16","2021-11-16","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2021-09-13-000078","BPA1","2021-09-13","2021-09-13","APPROVED","BP/RRK/000005","2021-09-18"
"Rourkela","BP-RRK-2021-11-20-000166","BPA1","2021-11-20","2021-11-23","APPROVED","BP/RRK/000013","2021-12-04"
"Rourkela","BP-RRK-2021-09-13-000076","BPA1","2021-09-13","2021-09-13","APPROVED","BP/RRK/000007",NULL
"Rourkela","BP-RRK-2021-09-13-000077","BPA1","2021-09-13",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Sambalpur","BP-SMB-2021-08-15-000074","BPA2","2021-08-15","2021-08-30","APPROVED","BP/SMB/000006","2021-09-21"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-08-000737","BPA1","2022-02-08",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2021-12-03-000174","BPA1","2021-12-03","2021-12-15","APPROVED","BP/RRK/000026","2022-01-08"
"Bhubaneswar","BP-BMC-2022-01-13-000347","BPA1","2022-01-13",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Sambalpur","BP-SMB-2022-01-14-000354","BPA1","2022-01-14",NULL,"INITIATED",NULL,NULL
"Sambalpur","BP-SMB-2022-01-16-000379","BPA1","2022-01-16",NULL,"INITIATED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-01-23-000514","BPA1","2022-01-23",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2021-11-16-000158","BPA1","2021-11-16","2021-12-02","APPROVED","BP/RRK/000022","2021-12-21"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-07-000719","BPA1","2022-02-07","2022-02-08","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Berhampur","BP-BAM-2021-12-27-000217","BPA1","2021-12-27",NULL,"INITIATED",NULL,NULL
"Berhampur","BP-BAM-2021-11-15-000152","BPA1","2021-11-15","2021-11-15","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2021-12-20-000202","BPA1","2021-12-20","2021-12-21","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-26-000542","BPA1","2022-01-26",NULL,"INITIATED",NULL,NULL
"Cuttack","OD-BP-2021-02-12-000002","BPA3","2021-02-12","2021-02-12","APPROVED","OD-BP-2021-02-12-000002","2021-02-12"
"Berhampur","BP-BAM-2021-11-18-000162","BPA1","2021-11-18","2021-11-20","APPROVED","BP/BAM/000010","2021-11-27"
"Bhubaneswar","BP-BMC-2022-02-11-000810","BPA1","2022-02-11",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2022-01-15-000361","BPA1","2022-01-15",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Sambalpur","BP-SMB-2021-11-17-000160","BPA1","2021-11-17","2021-11-17","APPROVED","BP/SMB/000016","2021-12-13"
"Rourkela","BP-RRK-2021-11-25-000169","BPA1","2021-11-25","2021-11-25","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Sambalpur","BP-SMB-2021-11-22-000167","BPA1","2021-11-22","2021-11-22","APPROVED","BP/SMB/000017","2021-12-14"
"Sambalpur","BP-SMB-2021-11-15-000153","BPA1","2021-11-15","2021-11-16","APPROVED","BP/SMB/000011","2021-12-02"
"Sambalpur","BP-SMB-2022-01-18-000425","BPA1","2022-01-18",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2021-11-25-000170","BPA1","2021-11-25","2021-11-29","APPROVED","BP/RRK/000012","2021-12-03"
"Berhampur","BP-BAM-2021-11-18-000163","BPA1","2021-11-18","2021-11-19","APPROVED","BP/BAM/000021","2021-12-18"
"Rourkela","BP-RRK-2021-11-24-000168","BPA2","2021-11-24","2021-12-06","CITIZEN_ACTION_PENDING_AT_APP_L1_VERIF",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-24-000518","BPA1","2022-01-24",NULL,"PENDING_APPL_FEE",NULL,NULL
"Rourkela","BP-RRK-2021-12-03-000173","BPA1","2021-12-03","2021-12-18","REJECTED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-28-000561","BPA1","2022-01-28","2022-01-28","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-15-000363","BPA1","2022-01-15",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Berhampur","BP-BAM-2021-11-20-000165","BPA1","2021-11-20","2021-11-20","APPROVED","BP/BAM/000014","2021-12-07"
"Berhampurdevelopmentauthority","BP-BED-2022-01-17-000403","BPA1","2022-01-17",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2021-12-02-000172","BPA1","2021-12-02","2021-12-02","APPROVED","BP/RRK/000023","2021-12-21"
"Sambalpur","BP-SMB-2022-01-28-000559","BPA1","2022-01-28",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-26-000543","BPA1","2022-01-26","2022-01-26","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2021-12-28-000221","BPA2","2021-12-28",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-06-000692","BPA1","2022-02-06","2022-02-06","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2021-12-29-000227","BPA1","2021-12-29",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2021-12-09-000188","BPA1","2021-12-09","2021-12-15","APPROVED","BP/RRK/000025","2022-01-06"
"Bhubaneswar","BP-BMC-2022-02-03-000674","BPA1","2022-02-03",NULL,"PENDING_APPL_FEE",NULL,NULL
"Rourkela","BP-RRK-2021-11-16-000156","BPA1","2021-11-16","2021-12-02","APPROVED","BP/RRK/000018","2021-12-14"
"Rourkela","BP-RRK-2021-11-17-000161","BPA1","2021-11-17","2021-12-02","APPROVED","BP/RRK/000019","2021-12-15"
"Rourkela","BP-RRK-2021-11-15-000151","BPA1","2021-11-15","2021-12-02","APPROVED","BP/RRK/000020","2021-12-15"
"Bhubaneswar","BP-BMC-2022-02-04-000688","BPA1","2022-02-04","2022-02-08","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-24-000535","BPA1","2022-01-24",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-20-000456","BPA2","2022-01-20",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-20-000463","BPA1","2022-01-20",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2021-12-31-000237","BPA2","2021-12-31",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-31-000606","BPA1","2022-01-31",NULL,"INITIATED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-09-000767","BPA1","2022-02-09",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-03-000244","BPA2","2022-01-03",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-01-000625","BPA2","2022-02-01",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Sambalpur","BP-SMB-2022-01-18-000426","BPA1","2022-01-18",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-12-000833","BPA1","2022-02-12","2022-02-12","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-01-28-000564","BPA1","2022-01-28","2022-01-29","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-09-000766","BPA2","2022-02-09",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Berhampur","BP-BAM-2021-11-20-000164","BPA1","2021-11-20","2021-11-20","APPROVED","BP/BAM/000037","2022-02-07"
"Bhubaneswar","BP-BMC-2022-02-12-000835","BPA1","2022-02-12",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-14-000355","BPA1","2022-01-14",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2021-12-09-000189","BPA1","2021-12-09","2021-12-15","APPROVED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-09-000759","BPA1","2022-02-09",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-20-000469","BPA1","2022-01-20",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Cuttack","BP-CTC-2021-12-27-000214","BPA2","2021-12-27",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-07-000717","BPA1","2022-02-07","2022-02-08","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-13-000345","BPA1","2022-01-13",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-03-000248","BPA1","2022-01-03",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Sambalpur","BP-SMB-2022-01-14-000353","BPA1","2022-01-14",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2021-11-16-000159","BPA1","2021-11-16","2021-11-24","APPROVED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-11-000811","BPA1","2022-02-11",NULL,"PENDING_APPL_FEE",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-06-000693","BPA1","2022-02-06",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-15-000359","BPA1","2022-01-15",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-15-000372","BPA2","2022-01-15",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-09-000295","BPA1","2022-01-09",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-10-000318","BPA1","2022-01-10",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-10-000296","BPA1","2022-01-10",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2022-01-17-000400","BPA1","2022-01-17",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-17-000399","BPA1","2022-01-17",NULL,"PENDING_APPL_FEE",NULL,NULL
"Berhampur","BP-BAM-2022-01-08-000284","BPA1","2022-01-08","2022-01-08","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Sambalpur","BP-SMB-2022-01-18-000424","BPA1","2022-01-18",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2021-12-03-000175","BPA1","2021-12-03","2022-01-06","APPROVED","BP/RRK/000028","2022-01-20"
"Rourkela","BP-RRK-2022-01-09-000294","BPA1","2022-01-09","2022-01-24","APPROVED","BP/RRK/000038","2022-02-07"
"Bhubaneswar","BP-BMC-2022-02-08-000747","BPA1","2022-02-08","2022-02-08","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-01-08-000288","BPA1","2022-01-08","2022-01-08","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-08-000744","BPA1","2022-02-08","2022-02-09","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-02-02-000644","BPA2","2022-02-02","2022-02-02","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-01-000626","BPA2","2022-02-01","2022-02-01","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-24-000529","BPA1","2022-01-24","2022-02-04","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-04-000689","BPA2","2022-02-04","2022-02-07","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2021-12-31-000236","BPA1","2021-12-31","2021-12-31","APPROVED","BP/RRK/000035","2022-02-02"
"Bhubaneswar","BP-BMC-2022-01-24-000532","BPA1","2022-01-24","2022-01-24","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-12-000826","BPA1","2022-02-12","2022-02-13","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-21-000474","BPA2","2022-01-21",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-02-000655","BPA1","2022-02-02",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-27-000552","BPA2","2022-01-27",NULL,"INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-20-000459","BPA1","2022-01-20","2022-01-20","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-28-000572","BPA1","2022-01-28","2022-01-30","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-28-000563","BPA1","2022-01-28","2022-01-31","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-01-03-000242","BPA1","2022-01-03","2022-01-06","APPROVED","BP/RRK/000033","2022-02-02"
"Bhubaneswar","BP-BMC-2022-01-21-000489","BPA1","2022-01-21","2022-02-09","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-08-000727","BPA2","2022-02-08","2022-02-08","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-04-000678","BPA1","2022-02-04","2022-02-05","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Sambalpur","BP-SMB-2022-01-28-000562","BPA1","2022-01-28","2022-01-28","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-10-000789","BPA1","2022-02-10",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-24-000523","BPA2","2022-01-24",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-25-000538","BPA2","2022-01-25",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Udala","BP-UDL-2022-01-22-000513","BPA1","2022-01-22","2022-01-25","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-06-000694","BPA1","2022-02-06",NULL,"PENDING_APPL_FEE",NULL,NULL
"Rourkela","BP-RRK-2022-01-22-000510","BPA1","2022-01-22","2022-01-22","APPROVED","BP/RRK/000031","2022-02-01"
"Rourkela","BP-RRK-2022-01-09-000293","BPA1","2022-01-09","2022-01-09","APPROVED","BP/RRK/000029","2022-01-27"
"Sambalpurdevelopmentauthority","BP-SDA-2022-02-09-000769","BPA1","2022-02-09",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-01-000620","BPA2","2022-02-01",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-07-000700","BPA1","2022-02-07","2022-02-07","FIELDINSPECTION_INPROGRESS",NULL,NULL
